tissue,round_x,before_ncc,after_ncc,intensity,mean_rmse
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_03_initial_reg.tif,[0.83046744],[0.90856122],0.6743563700596978,1.4983312
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_04_initial_reg.tif,[0.84094714],[0.91782772],0.852090738886228,1.4518625
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_05_initial_reg.tif,[0.82651655],[0.90567675],0.9057138319894171,1.4565504
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_06_initial_reg.tif,[0.82567826],[0.90393493],0.7188975659694912,1.4675508
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_07_initial_reg.tif,[0.80547534],[0.89346846],0.7559932828623275,1.4821815
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_08_initial_reg.tif,[0.80590453],[0.88965707],0.7256077357330507,1.4778296
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_09_initial_reg.tif,[0.80330747],[0.88565684],0.8710304806873507,1.468047
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_10_initial_reg.tif,[0.79260366],[0.87468299],0.897644222399551,1.482957
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_11_initial_reg.tif,[0.79890325],[0.88023597],0.9274604738195786,1.4804345
GCA022TIB_TISSUE01_,/nfs2/baos1/rudravg/GCA022TIB_TISSUE01_DAPI_DAPI_12ms_ROUND_12_initial_reg.tif,[0.79448091],[0.88326106],0.8551567253751154,1.4864982
