Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
1908,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.465323700071713,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1913,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999996847652954,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1914,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.99999997565745,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1915,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.92011063207429,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1918,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.8331008490427e-14,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1919,False,False,False,False,False,False,False,False,False,False,False,True,False,True,6.22290452865374e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1925,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.99999999904288,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1929,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999998521631,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1940,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999484944,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1944,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999921737776588,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1947,False,False,False,False,False,False,False,False,False,False,False,True,False,False,5.08874701673138e-09,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1956,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.98093712402193,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1962,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999359389118,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1963,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999808446494,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1966,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.99999999999888,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1970,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999998645738,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1975,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.97311699569528,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1977,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3.95374652025607e-07,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1981,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999992281618,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1982,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999980099362,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1999,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999933821,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2000,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.99999999735681,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2002,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999905214,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2004,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999933264201,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999542390886,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999472863857,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2026,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999999958251,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2029,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.9999999932817,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2030,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.999999964783238,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2036,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.466606754827895,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2045,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999987744352643,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2051,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.999999616355554,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2053,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999658300612,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2058,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1.32528846491794e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2064,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999998851495296,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2075,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999897281799,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2077,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999996898301,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2081,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0003429496689716,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2087,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
2089,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0065505854153647,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2090,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.999997620089742,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2094,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999992503437,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2095,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999998541385,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2098,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999967328155161,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2104,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.99999999753608,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2109,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999999983903095,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2111,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6.08053000793786e-13,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2112,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.33744211356026e-13,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2113,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2.51331960444525e-06,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2116,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
2120,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0007391044781875,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2130,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0.999945245499346,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
