Instances,Mean_CD11B,Mean_CD20,Mean_CD3D,Mean_CD45,Mean_CD4,Mean_CD68,Mean_CD8,Mean_CGA,Mean_LYSOZYME,Mean_NAKATPASE,Mean_PANCK,Mean_SMA,Mean_SOX9,Mean_VIMENTIN,Mean_OLFM4,Mean_MUC2,Undefined,Epi+,Stroma+,Immune+,Progenitor,final_Enteroendocrine,final_Enterocytes,Fibroblasts/Stromal(undetermined),final_Fibroblasts,final_Stromal,final_Myeloid,final_Helper T,final_Cytotoxic T,final_T-cell receptor,final_Monocyte,final_Macrophage,final_B cell,final_Leukocyte,final_Progenitor
93,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0016410586612766,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
94,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.131103352811791,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
95,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0186478138621731,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
96,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0806474495013651,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
97,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0324179312553197,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
98,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0345327826244338,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
99,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0010515932492816,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
100,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0285340269056139,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0045433582427101,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
102,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.002623479865341,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
103,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0377024254021333,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
104,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,1.09443438036337e-05,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
105,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0887021478076647,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
106,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,0.110298376908299,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
107,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0.03148005311846,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
108,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0.005316772898987,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,0.0008429778856734,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,0.0043505972855123,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
111,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,6.93927035091853e-05,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
112,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.0079995548543848,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0.996267504934677,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
114,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0043726291075849,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
115,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0034699081904401,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
116,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.001433555278779,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
117,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,0.0041916128331442,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2.79000870181489e-08,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
119,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,0.0080062852791951,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
120,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0128542331227981,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
121,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0218323320020523,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
122,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.583317775087809,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
123,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.0044278853014948,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
124,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0040759503413871,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,0.999905794733229,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
126,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.0027476416546563,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
127,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0060641850530287,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
128,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.124281747355025,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
129,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0.0021507913504894,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
130,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0.019787721950171,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
131,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0105793316222068,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
132,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,0.570510175830647,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
133,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.0024927699259278,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
134,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0195207384179689,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
135,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0021350371985829,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
136,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,0.152265090852962,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
137,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,0.0152970638424966,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
138,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,0.138532377599098,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
139,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,0.0134368177579221,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
140,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0067652636929216,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
